filename,fold,category,esc50_target,label,label_name
1-100032-A-0.wav,1,dog,0,6,DOG
1-100038-A-14.wav,1,chirping_birds,14,20,BIRDS
1-100210-A-36.wav,1,vacuum_cleaner,36,38,VACUUM
1-100210-B-36.wav,1,vacuum_cleaner,36,38,VACUUM
1-101296-A-19.wav,1,thunderstorm,19,25,THUNDER
1-101296-B-19.wav,1,thunderstorm,19,25,THUNDER
1-101336-A-30.wav,1,door_wood_knock,30,1,KNOCK
1-101404-A-34.wav,1,can_opening,34,36,CAN_OPEN
1-103298-A-9.wav,1,crow,9,15,CROW
1-103995-A-30.wav,1,door_wood_knock,30,1,KNOCK
1-103999-A-30.wav,1,door_wood_knock,30,1,KNOCK
1-104089-A-22.wav,1,clapping,22,0,CLAP
1-104089-B-22.wav,1,clapping,22,0,CLAP
1-105224-A-22.wav,1,clapping,22,0,CLAP
1-110389-A-0.wav,1,dog,0,6,DOG
1-110537-A-22.wav,1,clapping,22,0,CLAP
1-115521-A-19.wav,1,thunderstorm,19,25,THUNDER
1-115545-A-48.wav,1,fireworks,48,48,FIREWORKS
1-115545-B-48.wav,1,fireworks,48,48,FIREWORKS
1-115545-C-48.wav,1,fireworks,48,48,FIREWORKS
1-115546-A-48.wav,1,fireworks,48,48,FIREWORKS
1-115920-A-22.wav,1,clapping,22,0,CLAP
1-115920-B-22.wav,1,clapping,22,0,CLAP
1-115921-A-22.wav,1,clapping,22,0,CLAP
1-116765-A-41.wav,1,chainsaw,41,41,CHAINSAW
1-11687-A-47.wav,1,airplane,47,47,AIRPLANE
1-118206-A-31.wav,1,mouse_click,31,33,MOUSECLICK
1-118559-A-17.wav,1,pouring_water,17,23,WATER_POUR
1-119125-A-45.wav,1,train,45,45,TRAIN
1-121951-A-8.wav,1,sheep,8,14,SHEEP
1-12653-A-15.wav,1,water_drops,15,21,WATERDROP
1-12654-A-15.wav,1,water_drops,15,21,WATERDROP
1-12654-B-15.wav,1,water_drops,15,21,WATERDROP
1-13571-A-46.wav,1,church_bells,46,46,BELLS
1-13572-A-46.wav,1,church_bells,46,46,BELLS
1-13613-A-37.wav,1,clock_alarm,37,39,ALARM
1-137-A-32.wav,1,keyboard_typing,32,34,KEYBOARD
1-137296-A-16.wav,1,wind,16,22,WIND
1-14262-A-37.wav,1,clock_alarm,37,39,ALARM
1-155858-A-25.wav,1,footsteps,25,29,FOOTSTEPS
1-155858-B-25.wav,1,footsteps,25,29,FOOTSTEPS
1-155858-C-25.wav,1,footsteps,25,29,FOOTSTEPS
1-155858-D-25.wav,1,footsteps,25,29,FOOTSTEPS
1-155858-E-25.wav,1,footsteps,25,29,FOOTSTEPS
